Zdjęcie satelitarne patrzące w dół na Ziemię.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.
Chcą stać się potęgą przemysłową w branżach niezależnych od ropy.	So they want to emerge as an industrial powerhouse across the industries away from oil.	Chcą przejawiać się jako siła napędzająca przemysł w różnych branżach z daleka od ropy.
Umieściłem ich w moim zdjęciu.	And I put them into my photograph.	Umieściłam je na swoim zdjęciu.
I znów możesz to potraktować jak mapowanie naszych autostrad międzystanowych, jeśli chcesz.	And again you can think of this as almost mapping our interstate highways if you will.	I znów można to traktować prawie jak mapowanie autostrad międzystanowych.
Więc co jest najlepsze.	So what is the best.	Która metoda jest najlepsza?
A tam, gdzie występują robaki jelitowe, wylecz dzieci z tych robaków.	And in places where there are worms intestinal worms cure the kids of their worms.	W miejscach występowania pasożytów głównie przewodu pokarmowego wystarczy wyleczyć dzieci.
Uważam, że te zasoby są niezwykle cenne.	I think these resources are incredibly valuable.	Uważam że są to niezwykle cenne informacje
A gdy pobieramy próbkę i hybrydyzujemy ją, uzyskujemy unikalny odcisk palca, jeśli można tak powiedzieć, ilościowo określający, które geny są w niej aktywne.	And when we take a sample and we hybridize it to it we get a unique fingerprint if you will quantitatively of what genes are turned on in that sample.	Kiedy zhybrydyzujemy próbkę otrzymamy unikalny odcisk palca dowód ilościowy potwierdzający które geny są włączone w danej próbce.
Możemy zobaczyć ten unikalny odcisk palca.	We can see this unique fingerprint.	Możemy zobaczyć ten unikalny odcisk palca.
Fotografowałem go na miejscu zbrodni nad rzeką Snake w Idaho.	I photographed him at the scene of the crime at the Snake River in Idaho.	Sfotografowałam go na miejscu zbrodni nad rzeką Wężową w Idaho.
OK, pomyśl, ile liter jest w jego tytule.	OK think of how many letters in the title of his name.	OK pomyśl z ilu liter składa się jego imię.
Droga naprzód dla nas to teraz standaryzacja tej technologii.	The way forward for us is now to standardize this technology.	Kolejnym krokiem jest teraz standaryzacja tej technologii.
To jest pytanie.	That is the question.	Oto jest pytanie.
OK, po prostu stań bliżej sceny.	OK just stand stage forward.	OK stań tam przodem do sceny.
Zobacz, problem polega na tym, że jako ludzie te trzy rzeczy mogą się rozdzielić.	See the problem is that as humans these three can separate.	Problem polega na tym że u ludzi te trzy układy mogą być rozdzielne.
Czy możesz sobie wyobrazić potencjalne zastosowania dla potomstwa: wykrywanie zanieczyszczeń w glebie, zastosowania celne, wykrywanie nielegalnych towarów w kontenerach i tak dalej?	Can you imagine the potential offspring applications environmental detection of pollutants in soils customs applications detection of illicit goods in containers and so on.	Możecie sobie wyobrazić potencjalne pochodne zastosowania analizy środowiskowe wykrywanie zanieczyszczeń w glebie zastosowania przy odprawach celnych wykrywanie niedozwolonych dóbr w pojemnikach i tak dalej.
To naprawdę znaczące.	So this is really considerable.	Jest to więc naprawdę znaczący wynik.
Czy możesz wstać?	Can you stand up.	Możesz wstać?
I to nie w jakimś abstrakcyjnym, metaforycznym sensie.	And this is not in some abstract metaphorical sense.	I to nie abstrakcyjnie czy metaforycznie.
Może rozważać znaczenie nieskończoności, zadawać pytania o sens własnego istnienia, o naturę Boga.	It can contemplate the meaning of infinity ask questions about the meaning of its own existence about the nature of God.	nad znaczeniem nieskończoności zapytać o sens własnego istnienia i o naturę Boga.
Patrząc na proporcje i kombinacje różnych rodzajów pyłków w próbce, możesz bardzo dokładnie określić, skąd pochodzi.	By looking at the proportions and combinations of different kinds of pollen in a sample you can tell very precisely where it came from.	Patrząc na proporcje pyłków w badanej próbce Patrząc na proporcje pyłków w badanej próbce można precyzyjnie określić skąd ona pochodzi.
Więc to są konsekwencje.	So those are the consequences.	To są więc konsekwencje.
DR Ma — on idzie.	DR Ma he is walking.	DR Mamo on chodzi.
I finansuje dużą część moich badań.	And it funds a lot of my research.	Finansowanych jest z niego wiele moich badań.
A teraz chcesz, żebym oddał te pieniądze i wysłał je nieznajomemu.	And now you want me to give up this money and ship it to a stranger.	a potem chce żebyś oddał te pieniądze obcemu?
Co się wydarzyło przez ostatnie 15 lat tej pracy?	What has happened in the last 15 years with this work.	Co działo się z tymi badaniami na przestrzeni ostatnich 15 lat?
Gram na tych rockowych koncertach, stoję na scenie całkowicie nieruchomo, a oni pytają: Co ona robi? Co ona robi?	I will play at these rock shows be on stage standing completely still and they are like What is she doing What is she doing.	Gram na koncertach rockowych stoję bez ruchu na scenie. Co ona robi?
Aby zamienić te nieprzejrzyste 90 000 godzin nagrań wideo w coś, co moglibyśmy zacząć widzieć, użyliśmy analizy ruchu, by wydobyć to, co nazywamy robakami czasoprzestrzennymi.	In order to convert this opaque 90000 hours of video into something that we could start to see we use motion analysis to pull out as we move through space and through time what we call space time worms.	W celu przekonwertowania tych złożonych 90 tys. godzin nagrań video w coś co moglibyśmy zacząć rozumieć korzystamy z analizy ruchu w celu wydobycia w miarę jak poruszamy się w czasie i przestrzeni tzw. robaków czasoprzestrzennych .
Pokazałem już na początku lat 2000, że kraje z większym odsetkiem zaufanych ludzi są bardziej zamożne.	Why I had shown in the early 2000s that countries with a higher proportion of trustworthy people are more prosperous.	Dlaczego? Wykazałem około roku 2000 że kraje z wyższym odsetkiem wiarygodnych ludzi lepiej prosperują.
Więc mimo że boję się wysokości, ostatnio przypiąłem się do innego człowieka i wyskoczyłem z samolotu na wysokości 12 000 stóp.	So even though I have a fear of heights I recently strapped myself to another human being and stepped out of an airplane at 12000 ft.	więc ostatnio mimo tego że mam lęk wysokości pozwoliłem przypiąć się do innego człowieka i wyskoczyłem z samolotu na wysokości 3650 metrów.
A potem pojechałem na spotkanie we Włoszech.	And but then I went to a meeting in Italy.	I później udałem się na konferencję do Włoch.
Bo tak się robi z pękniętą szybą.	Because that is what you do with a cracked pane.	Bo tak się właśnie robi z pękniętą szybą.
Margines błędu jest wąski — tutaj pokazuję oczekiwaną długość życia od 30 lat w niektórych krajach do około 70 lat.	The error margin is narrow Here I put life expectancy at birth from 30 years in some countries up to about 70 years.	Margines błędu jest mały. Tu wpisałem oczekiwaną średnią długość życia przy urodzeniu od 30 lat w niektórych krajach aż do około 70 lat.
A jedno z pytań, z którego dużo się nauczyłem, to to: Który kraj ma najwyższą śmiertelność dzieci z tych pięciu par?	And one of the questions from which I learned a lot was this one Which country has the highest child mortality of these five pairs.	Jedno z pytań z których się wiele dowiedziałem było następujące W którym kraju z tych pięciu par jest najwyższa śmiertelność wśród dzieci?
Zazwyczaj okablowany przewodem 14-calowym.	Wired with 14 gauge wire typically.	Zwykle jest wyposażony w kabel kalibru 14.
Ale zapytaj po prostu, jak cząsteczka powinna się zwinąć.	But just ask what the molecule how should it fold up.	Ale pojawiło się pytanie jak ta molekuła jest zwinięta?
Jeśli coś nie jest idealne, jeśli nie pasuje do tego zamierzonego modelu — śmietnik.	If something isn not perfect if it doesn not line up with that premeditated model dumpster.	Jeśli coś nie jest doskonałe jeśli nie pasuje do zaplanowanego modelu do kosza.
Ups to, ups tamto — wysypisko, wysypisko, wysypisko.	Oops this oops that Landfill Landfill Landfill.	Ups to ups tamto. Śmietnik. Śmietnik. Śmietnik.
Cały ten apolliński, platoński model to fundament przemysłu budowlanego i istnieje wiele rzeczy, które to pogłębiają.	Now all that that Apollonian Platonic model is what the building industry is predicated on and there are a number of things that exacerbate that.	Więc cały ten apolliński platoński model to na nim się opiera przemysł budowlany i kilka rzeczy to jeszcze pogarsza.
Co myślisz, kochanie?	What do you think honey.	Co o tym myślisz kochanie?
Biolog Lewis Wolpert uważa, że dziwność współczesnej fizyki to tylko skrajny przykład — nauka, w przeciwieństwie do technologii, gwałci zdrowy rozsądek.	The biologist Lewis Wolpert believes that the queerness of modern physics is just an extreme example Science as opposed to technology does violence to common sense.	Biolog Lewis Wolpert jest przekonany że dziwność współczesnej fizyki to tylko skrajny przykład. Nauka w przeciwieństwie do technologii krzywdzi zdrowy rozsądek.
Jednak to, co muszę zrobić jako muzyk, to wszystko, co nie jest zapisane w nutach.	However what I have to do as a musician is do everything that is not on the music.	Jako muzyk zajmuję się jednak tym czego w nutach nie ma.
Ale właśnie o to tu chodzi — że ci ludzie mają te osobowości i charaktery.	But that is I think what this is all about is that these individuals have these personalities and characters.	Myślę że właśnie o to w tym wszystkim chodzi te wszystkie zwierzęta mają swoje osobowości i charaktery.
Muszę zagrać utwór muzyczny — o, to pomoże twojej kontroli.	I need to play a piece of music Oh well this will help your control.	Oni To pomaga wyćwiczyć kontrolę .
Teraz jestem skazany na spędzenie dużo czasu z wyjątkowymi, bardzo, bardzo specjalnymi, indywidualistycznymi i często uwodzicielskimi żeńskimi postaciami.	Now I am destined to spend a lot of time with some unique very very special individualistic and often seductive female characters.	Coż jestem skazany na spędzanie mnóstwa czasu z wyjątkowymi bardzo bardzo szczególnymi indywidualistycznymi i często uwodzicielskimi istotami płci żeńskiej.
Pamiętam moją nauczycielkę — kiedy zacząłem swoją pierwszą lekcję, byłem w pełni przygotowany z pałeczkami gotowymi do użycia.	I remember my teacher When I first started my very first lesson I was all prepared with sticks ready to go.	Pamiętam że na pierwszą lekcję przyszłam z pałkami gotowa grać.
