Obraz satelitarny Ziemi widzianej z góry.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.
Więc chcą stać się potęgą przemysłową we wszystkich branżach, z dala od ropy naftowej.	So they want to emerge as an industrial powerhouse across the industries away from oil.	Chcą przejawiać się jako siła napędzająca przemysł w różnych branżach z daleka od ropy.
I umieściłem je na moim zdjęciu.	And I put them into my photograph.	Umieściłam je na swoim zdjęciu.
I znowu, możesz to traktować niemal jak mapowanie naszych autostrad międzystanowych, jeśli wolisz.	And again you can think of this as almost mapping our interstate highways if you will.	I znów można to traktować prawie jak mapowanie autostrad międzystanowych.
Więc co jest najlepsze.	So what is the best.	Która metoda jest najlepsza?
A w miejscach, gdzie są robaki, robaki jelitowe, wylecz dzieci z robaków.	And in places where there are worms intestinal worms cure the kids of their worms.	W miejscach występowania pasożytów głównie przewodu pokarmowego wystarczy wyleczyć dzieci.
Uważam, że te zasoby są niezwykle cenne.	I think these resources are incredibly valuable.	Uważam że są to niezwykle cenne informacje
A kiedy pobieramy próbkę i hybrydyzujemy ją, otrzymujemy unikalny „odcisk palca”, jeśli wolisz, ilościowo, które geny są aktywne w tej próbce.	And when we take a sample and we hybridize it to it we get a unique fingerprint if you will quantitatively of what genes are turned on in that sample.	Kiedy zhybrydyzujemy próbkę otrzymamy unikalny odcisk palca dowód ilościowy potwierdzający które geny są włączone w danej próbce.
Możemy zobaczyć ten unikalny odcisk palca.	We can see this unique fingerprint.	Możemy zobaczyć ten unikalny odcisk palca.
Sfotografowałem go na miejscu zbrodni nad rzeką Snake w Idaho.	I photographed him at the scene of the crime at the Snake River in Idaho.	Sfotografowałam go na miejscu zbrodni nad rzeką Wężową w Idaho.
OK, pomyśl, ile liter jest w tytule jego imienia.	OK think of how many letters in the title of his name.	OK pomyśl z ilu liter składa się jego imię.
Dla nas drogą naprzód jest teraz standaryzacja tej technologii.	The way forward for us is now to standardize this technology.	Kolejnym krokiem jest teraz standaryzacja tej technologii.
To jest pytanie.	That is the question.	Oto jest pytanie.
OK, po prostu stań na scenie.	OK just stand stage forward.	OK stań tam przodem do sceny.
Widzisz, problem polega na tym, że jako ludzie te trzy mogą się rozdzielić.	See the problem is that as humans these three can separate.	Problem polega na tym że u ludzi te trzy układy mogą być rozdzielne.
Czy możesz sobie wyobrazić potencjalne zastosowania dla potomstwa, wykrywanie zanieczyszczeń w glebach, zastosowania celne, wykrywanie nielegalnych towarów w kontenerach i tak dalej.	Can you imagine the potential offspring applications environmental detection of pollutants in soils customs applications detection of illicit goods in containers and so on.	Możecie sobie wyobrazić potencjalne pochodne zastosowania analizy środowiskowe wykrywanie zanieczyszczeń w glebie zastosowania przy odprawach celnych wykrywanie niedozwolonych dóbr w pojemnikach i tak dalej.
Więc to jest naprawdę znaczące.	So this is really considerable.	Jest to więc naprawdę znaczący wynik.
Możesz wstać?	Can you stand up.	Możesz wstać?
I to nie jest w jakimś abstrakcyjnym, metaforycznym sensie.	And this is not in some abstract metaphorical sense.	I to nie abstrakcyjnie czy metaforycznie.
Może kontemplować znaczenie nieskończoności, zadawać pytania o sens własnego istnienia, o naturę Boga.	It can contemplate the meaning of infinity ask questions about the meaning of its own existence about the nature of God.	nad znaczeniem nieskończoności zapytać o sens własnego istnienia i o naturę Boga.
Patrząc na proporcje i kombinacje różnych rodzajów pyłku w próbce, można bardzo precyzyjnie określić, skąd pochodzi.	By looking at the proportions and combinations of different kinds of pollen in a sample you can tell very precisely where it came from.	Patrząc na proporcje pyłków w badanej próbce Patrząc na proporcje pyłków w badanej próbce można precyzyjnie określić skąd ona pochodzi.
Więc to są konsekwencje.	So those are the consequences.	To są więc konsekwencje.
Doktor Ma idzie.	DR Ma he is walking.	DR Mamo on chodzi.
I finansuje wiele moich badań.	And it funds a lot of my research.	Finansowanych jest z niego wiele moich badań.
A teraz chcesz, żebym oddał te pieniądze i wysłał je nieznajomemu.	And now you want me to give up this money and ship it to a stranger.	a potem chce żebyś oddał te pieniądze obcemu?
Co wydarzyło się w ciągu ostatnich 15 lat z tą pracą?	What has happened in the last 15 years with this work.	Co działo się z tymi badaniami na przestrzeni ostatnich 15 lat?
Będę grać na tych koncertach rockowych, stać na scenie nieruchomo, a oni myślą: Co ona robi? Co ona robi?	I will play at these rock shows be on stage standing completely still and they are like What is she doing What is she doing.	Gram na koncertach rockowych stoję bez ruchu na scenie. Co ona robi?
