Zdjęcie satelitarne przedstawiające Ziemię z góry.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.
Chcą więc wyrosnąć na przemysłową potęgę w różnych branżach, z dala od ropy.	So they want to emerge as an industrial powerhouse across the industries away from oil.	Chcą przejawiać się jako siła napędzająca przemysł w różnych branżach z daleka od ropy.
I umieściłem je w moim zdjęciu.	And I put them into my photograph.	Umieściłam je na swoim zdjęciu.
I znowu, można to porównać do mapowania naszych autostrad międzystanowych, jeśli wolisz.	And again you can think of this as almost mapping our interstate highways if you will.	I znów można to traktować prawie jak mapowanie autostrad międzystanowych.
Więc co jest najlepsze.	So what is the best.	Która metoda jest najlepsza?
A w miejscach, gdzie są robaki jelitowe, leczy się dzieci z tych robaków.	And in places where there are worms intestinal worms cure the kids of their worms.	W miejscach występowania pasożytów głównie przewodu pokarmowego wystarczy wyleczyć dzieci.
Uważam, że te zasoby są niezwykle cenne.	I think these resources are incredibly valuable.	Uważam że są to niezwykle cenne informacje
A kiedy pobieramy próbkę i hybrydyzujemy ją, otrzymujemy unikalny odcisk palca, jeśli można tak powiedzieć, ilościowy, pokazujący, które geny są aktywne w tej próbce.	And when we take a sample and we hybridize it to it we get a unique fingerprint if you will quantitatively of what genes are turned on in that sample.	Kiedy zhybrydyzujemy próbkę otrzymamy unikalny odcisk palca dowód ilościowy potwierdzający które geny są włączone w danej próbce.
Możemy zobaczyć ten unikalny odcisk palca.	We can see this unique fingerprint.	Możemy zobaczyć ten unikalny odcisk palca.
Sfotografowałem go na miejscu zbrodni przy rzece Snake w Idaho.	I photographed him at the scene of the crime at the Snake River in Idaho.	Sfotografowałam go na miejscu zbrodni nad rzeką Wężową w Idaho.
OK, pomyśl, ile liter ma w tytule jego imienia.	OK think of how many letters in the title of his name.	OK pomyśl z ilu liter składa się jego imię.
Drogą naprzód jest dla nas teraz standaryzacja tej technologii.	The way forward for us is now to standardize this technology.	Kolejnym krokiem jest teraz standaryzacja tej technologii.
To jest pytanie.	That is the question.	Oto jest pytanie.
OK, po prostu stań prosto na scenie.	OK just stand stage forward.	OK stań tam przodem do sceny.
Problem polega na tym, że jako ludzie, te trzy rzeczy mogą się rozdzielać.	See the problem is that as humans these three can separate.	Problem polega na tym że u ludzi te trzy układy mogą być rozdzielne.
Czy wyobrażasz sobie potencjalne zastosowania potomne, wykrywanie zanieczyszczeń w glebie, zastosowania celne, wykrywanie nielegalnych towarów w kontenerach i tak dalej.	Can you imagine the potential offspring applications environmental detection of pollutants in soils customs applications detection of illicit goods in containers and so on.	Możecie sobie wyobrazić potencjalne pochodne zastosowania analizy środowiskowe wykrywanie zanieczyszczeń w glebie zastosowania przy odprawach celnych wykrywanie niedozwolonych dóbr w pojemnikach i tak dalej.
Więc to jest naprawdę znaczące.	So this is really considerable.	Jest to więc naprawdę znaczący wynik.
Czy możesz wstać.	Can you stand up.	Możesz wstać?
I to nie w jakimś abstrakcyjnym, metaforycznym sensie.	And this is not in some abstract metaphorical sense.	I to nie abstrakcyjnie czy metaforycznie.
Może kontemplować znaczenie nieskończoności, zadawać pytania o sens własnego istnienia, o naturę Boga.	It can contemplate the meaning of infinity ask questions about the meaning of its own existence about the nature of God.	nad znaczeniem nieskończoności zapytać o sens własnego istnienia i o naturę Boga.
Patrząc na proporcje i kombinacje różnych rodzajów pyłku w próbce, można bardzo dokładnie określić, skąd pochodzi.	By looking at the proportions and combinations of different kinds of pollen in a sample you can tell very precisely where it came from.	Patrząc na proporcje pyłków w badanej próbce Patrząc na proporcje pyłków w badanej próbce można precyzyjnie określić skąd ona pochodzi.
