Zdjęcie satelitarne spoglądające na ziemię.	A satellite picture looking down at the earth.	Zdjęcie satelitarne Ziemii.	4.5
Dlatego chcą zaistnieć jako potęga przemysłowa w różnych branżach z dala od ropy naftowej.	So they want to emerge as an industrial powerhouse across the industries away from oil.	Chcą przejawiać się jako siła napędzająca przemysł w różnych branżach z daleka od ropy.	4.666666667
I umieściłem je na moim zdjęciu.	And I put them into my photograph.	Umieściłam je na swoim zdjęciu.	4.583333333
I znowu możesz myśleć o tym jak o prawie mapowaniu naszych autostrad międzystanowych, jeśli wolisz.	And again you can think of this as almost mapping our interstate highways if you will.	I znów można to traktować prawie jak mapowanie autostrad międzystanowych.	3.833333333
Więc co jest najlepsze.	So what is the best.	Która metoda jest najlepsza?	4.416666667
A w miejscach, gdzie są robaki, robaki jelitowe leczą dzieci z ich robaków.	And in places where there are worms intestinal worms cure the kids of their worms.	W miejscach występowania pasożytów głównie przewodu pokarmowego wystarczy wyleczyć dzieci.	4.083333333
Myślę, że te zasoby są niezwykle cenne.	I think these resources are incredibly valuable.	Uważam że są to niezwykle cenne informacje	4.5
A kiedy pobieramy próbkę i hybrydyzujemy ją z nią, otrzymujemy unikalny odcisk palca, jeśli będziesz ilościowo określić, jakie geny są włączone w tej próbce.	And when we take a sample and we hybridize it to it we get a unique fingerprint if you will quantitatively of what genes are turned on in that sample.	Kiedy zhybrydyzujemy próbkę otrzymamy unikalny odcisk palca dowód ilościowy potwierdzający które geny są włączone w danej próbce.	4.25
Widzimy ten wyjątkowy odcisk palca.	We can see this unique fingerprint.	Możemy zobaczyć ten unikalny odcisk palca.	4.833333333
Sfotografowałem go na miejscu zbrodni nad Snake River w Idaho.	I photographed him at the scene of the crime at the Snake River in Idaho.	Sfotografowałam go na miejscu zbrodni nad rzeką Wężową w Idaho.	4.916666667
OK, pomyśl, ile liter w tytule jego imienia.	OK think of how many letters in the title of his name.	OK pomyśl z ilu liter składa się jego imię.	4.083333333
Dalszą drogą dla nas jest teraz standaryzacja tej technologii.	The way forward for us is now to standardize this technology.	Kolejnym krokiem jest teraz standaryzacja tej technologii.	4.666666667
Oto jest pytanie.	That is the question.	Oto jest pytanie.	4.75
OK, po prostu stań przed sceną.	OK just stand stage forward.	OK stań tam przodem do sceny.	4.166666667
Widzisz, problem polega na tym, że jako ludzie ci trzej mogą się rozdzielić.	See the problem is that as humans these three can separate.	Problem polega na tym że u ludzi te trzy układy mogą być rozdzielne.	4
Czy możesz sobie wyobrazić potencjalne zastosowania potomne, wykrywanie zanieczyszczeń w glebie, aplikacje celne, wykrywanie nielegalnych towarów w kontenerach i tak dalej.	Can you imagine the potential offspring applications environmental detection of pollutants in soils customs applications detection of illicit goods in containers and so on.	Możecie sobie wyobrazić potencjalne pochodne zastosowania analizy środowiskowe wykrywanie zanieczyszczeń w glebie zastosowania przy odprawach celnych wykrywanie niedozwolonych dóbr w pojemnikach i tak dalej.	4.333333333
Więc to jest naprawdę znaczące.	So this is really considerable.	Jest to więc naprawdę znaczący wynik.	4.416666667
Czy możesz wstać.	Can you stand up.	Możesz wstać?	4.666666667
